screening_id,source_inventory_line,requested_model_or_family,category,cell_type,model_scope_candidate,specific_source_identified,primary_source_title,doi,metadata_status,full_text_access_status,equation_evidence_status,parameter_evidence_status,code_identified,code_url,code_license_status,screening_status,exclusion_or_hold_reason,priority,last_checked
screen_0001,24,Lapicque integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0002,25,Leaky integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0003,26,Stochastic/noisy LIF,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0004,27,Exponential integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0005,28,Adaptive exponential integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,yes,Adaptive Exponential Integrate-and-Fire Model as an Effective Description of Neuronal Activity,10.1152/jn.00686.2005,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0006,29,Quadratic integrate-and-fire,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0007,30,Theta neuron,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0008,31,Izhikevich simple spiking-neuron model,A1 Reduced point-neuron models,Neuron,cell_function,yes,Simple model of spiking neurons,10.1109/tnn.2003.820440,verified,source_inspected,second_pass_checked,registered,yes,https://izhikevich.org/publications/spikes.htm,license_unclear,promoted,,high,2026-07-23
screen_0009,32,Adaptive-threshold LIF / ALIF,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0010,33,Allen GLIF1–GLIF5,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0011,34,Generalized linear point-process neuron,A1 Reduced point-neuron models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0012,58,Hodgkin–Huxley 1952,A2 Conductance-based models,Neuron,cell_function,yes,A quantitative description of membrane current and its application to conduction and excitation in nerve,10.1113/jphysiol.1952.sp004764,verified,source_inspected,second_pass_checked,parameters_incomplete,no,,license_unclear,promoted,,high,2026-07-23
screen_0013,59,Morris–Lecar 1981,A2 Conductance-based models,Neuron,cell_function,yes,Voltage oscillations in the barnacle giant muscle fiber,10.1016/S0006-3495(81)84782-0,verified,source_identified,bibliography_verified,not_verified,no,,not_assessed,promoted,,high,2026-07-23
screen_0014,60,FitzHugh–Nagumo,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0015,61,Hindmarsh–Rose,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0016,62,Traub pyramidal-neuron model families,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0017,63,Wang–Buzsáki fast-spiking interneuron model,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0018,64,PV-like fast-spiking conductance models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
screen_0019,65,SST/Martinotti-like conductance models,A2 Conductance-based models,Neuron,cell_function,no,,,not_verified,not_verified,not_verified,not_verified,no,,not_assessed,candidate,"In scope after title-level inventory screening; source-specific bibliographic, full-text, equation, and license evidence remains pending.",medium,2026-07-23
